context,winner_index,winner,votedFor,userDetails.country,userDetails.language,userDetails.userScore,userDetails.age,userDetails.gender,userDetails.occupation,model1,model2,winner_model,voted_for_model,continent
A blue bunny in a pink water toilet bowl.,1,dalle3_bunny.jpg,dalle3_bunny.jpg,ES,es,0.6753,18-29,Female,Unknown,4o,dalle3,dalle3,dalle3,Europe
A blue bunny in a pink water toilet bowl.,1,dalle3_bunny.jpg,dalle3_bunny.jpg,EG,ar,0.4068,40-49,Other,Education,4o,dalle3,dalle3,dalle3,Africa
A blue bunny in a pink water toilet bowl.,1,dalle3_bunny.jpg,dalle3_bunny.jpg,RS,sr,0.7039,50-64,Male,Education,4o,dalle3,dalle3,dalle3,Europe
A blue bunny in a pink water toilet bowl.,1,dalle3_bunny.jpg,4o_bunny.jpg,BO,es,0.3385,0-17,Other,Other Employment,4o,dalle3,dalle3,4o,South America
A blue bunny in a pink water toilet bowl.,1,dalle3_bunny.jpg,4o_bunny.jpg,RS,sr,0.3717,40-49,Female,Unemployed or Student,4o,dalle3,dalle3,4o,Europe
A blue bunny in a pink water toilet bowl.,1,halfmoon_bunny.jpg,halfmoon_bunny.jpg,IN,en,0.4374,Unknown,Unknown,Unknown,4o,halfmoon,halfmoon,halfmoon,Asia
A blue bunny in a pink water toilet bowl.,1,halfmoon_bunny.jpg,halfmoon_bunny.jpg,RS,sr,0.4644,50-64,Male,Technology,4o,halfmoon,halfmoon,halfmoon,Europe
A blue bunny in a pink water toilet bowl.,1,halfmoon_bunny.jpg,halfmoon_bunny.jpg,RS,hr,0.4042,18-29,Female,Healthcare,4o,halfmoon,halfmoon,halfmoon,Europe
A blue bunny in a pink water toilet bowl.,1,halfmoon_bunny.jpg,4o_bunny.jpg,DE,de,0.6962,Unknown,Unknown,Unknown,4o,halfmoon,halfmoon,4o,Europe
A blue bunny in a pink water toilet bowl.,1,halfmoon_bunny.jpg,halfmoon_bunny.jpg,AT,de,0.7959,50-64,Female,Skilled Manual Trades,4o,halfmoon,halfmoon,halfmoon,Europe
A blue bunny in a pink water toilet bowl.,1,halfmoon_bunny.jpg,halfmoon_bunny.jpg,TR,tr,0.0415,Unknown,Unknown,Unknown,4o,halfmoon,halfmoon,halfmoon,Asia
A blue bunny in a pink water toilet bowl.,1,halfmoon_bunny.jpg,halfmoon_bunny.jpg,BR,pt,0.4375,Unknown,Unknown,Unknown,4o,halfmoon,halfmoon,halfmoon,South America
A blue bunny in a pink water toilet bowl.,1,stablediffusion_bunny.jpg,stablediffusion_bunny.jpg,IN,en,0.0869,Unknown,Unknown,Unknown,4o,stablediffusion,stablediffusion,stablediffusion,Asia
A blue bunny in a pink water toilet bowl.,1,stablediffusion_bunny.jpg,stablediffusion_bunny.jpg,IN,en,0.3135,50-64,Male,Unemployed or Student,4o,stablediffusion,stablediffusion,stablediffusion,Asia
A blue bunny in a pink water toilet bowl.,1,stablediffusion_bunny.jpg,stablediffusion_bunny.jpg,KE,en,0.4421,18-29,Female,Unknown,4o,stablediffusion,stablediffusion,stablediffusion,Africa
A blue bunny in a pink water toilet bowl.,1,stablediffusion_bunny.jpg,4o_bunny.jpg,EG,ar,0.2618,65+,Other,None of these,4o,stablediffusion,stablediffusion,4o,Africa
A blue bunny in a pink water toilet bowl.,1,stablediffusion_bunny.jpg,stablediffusion_bunny.jpg,EG,en,0.2052,18-29,Female,Education,4o,stablediffusion,stablediffusion,stablediffusion,Africa
A blue bunny in a pink water toilet bowl.,1,stablediffusion_bunny.jpg,4o_bunny.jpg,DZ,en,0.228,50-64,Female,Education,4o,stablediffusion,stablediffusion,4o,Africa
A blue bunny in a pink water toilet bowl.,0,dalle3_bunny.jpg,halfmoon_bunny.jpg,ES,es,0.6997,18-29,Female,Unknown,dalle3,halfmoon,dalle3,halfmoon,Europe
A blue bunny in a pink water toilet bowl.,0,dalle3_bunny.jpg,dalle3_bunny.jpg,TR,tr,0.2212,18-29,Female,Unemployed or Student,dalle3,halfmoon,dalle3,dalle3,Asia
A blue bunny in a pink water toilet bowl.,0,dalle3_bunny.jpg,dalle3_bunny.jpg,RS,sr,0.0794,0-17,Male,Other Employment,dalle3,halfmoon,dalle3,dalle3,Europe
A blue bunny in a pink water toilet bowl.,0,dalle3_bunny.jpg,dalle3_bunny.jpg,KE,en,0.4421,18-29,Female,Unknown,dalle3,halfmoon,dalle3,dalle3,Africa
A blue bunny in a pink water toilet bowl.,0,dalle3_bunny.jpg,dalle3_bunny.jpg,MZ,pt,0.5982,50-64,Other,Creative & Media,dalle3,halfmoon,dalle3,dalle3,Africa
A blue bunny in a pink water toilet bowl.,1,stablediffusion_bunny.jpg,dalle3_bunny.jpg,IN,en,0.2293,0-17,Female,Healthcare,dalle3,stablediffusion,stablediffusion,dalle3,Asia
